tweet_id,timestamp,source,expanded_urls,rating,dog_stage,favorite_count,retweet_count
667546741521195010,2015-11-20,twitter,rateDogs photo,9,None,340,129
667549055577362432,2015-11-20,twitter,rateDogs photo,1,None,5922,2366
667724302356258817,2015-11-20,twitter,rateDogs photo,7,None,498,328
667728196545200128,2015-11-20,twitter,rateDogs photo,11,None,383,153
667766675769573376,2015-11-20,twitter,rateDogs photo,9,None,455,225
667773195014021121,2015-11-20,twitter,rateDogs photo,8,None,240,58
667782464991965184,2015-11-20,twitter,rateDogs photo,9,None,424,249
667793409583771648,2015-11-20,twitter,rateDogs photo,8,None,717,338
667801013445750784,2015-11-20,twitter,rateDogs photo,12,None,337,97
667806454573760512,2015-11-20,twitter,rateDogs photo,10,None,1082,516
667832474953625600,2015-11-20,twitter,rateDogs photo,12,None,294,63
667861340749471744,2015-11-21,twitter,rateDogs photo,9,None,248,80
667866724293877760,2015-11-21,twitter,rateDogs photo,10,None,3077,1070
667873844930215936,2015-11-21,twitter,rateDogs photo,10,None,648,421
667878741721415682,2015-11-21,twitter,rateDogs photo,2,None,402,121
667885044254572545,2015-11-21,twitter,rateDogs photo,10,None,838,506
667886921285246976,2015-11-21,twitter,rateDogs photo,11,None,1944,1132
667902449697558528,2015-11-21,twitter,rateDogs photo,9,None,867,387
667911425562669056,2015-11-21,twitter,rateDogs photo,5,None,505,315
667915453470232577,2015-11-21,twitter,rateDogs photo,10,None,216,58
667924896115245057,2015-11-21,twitter,rateDogs photo,9,None,308,114
667937095915278337,2015-11-21,twitter,rateDogs photo,3,None,1307,822
668113020489474048,2015-11-21,twitter,rateDogs photo,6,None,683,252
668142349051129856,2015-11-21,twitter,rateDogs photo,2,None,577,297
668154635664932864,2015-11-21,twitter,rateDogs photo,9,None,509,327
668171859951755264,2015-11-21,twitter,rateDogs photo,7,None,504,202
668190681446379520,2015-11-21,twitter,rateDogs photo,12,None,668,203
668204964695683073,2015-11-21,twitter,rateDogs photo,8,None,566,200
668221241640230912,2015-11-22,twitter,rateDogs photo,10,None,524,207
668226093875376128,2015-11-22,twitter,rateDogs photo,10,None,310,108
668237644992782336,2015-11-22,twitter,rateDogs photo,10,None,6391,2970
668248472370458624,2015-11-22,twitter,rateDogs photo,8,None,1020,505
668256321989451776,2015-11-22,twitter,rateDogs photo,13,None,1339,646
668268907921326080,2015-11-22,twitter,rateDogs photo,10,None,570,246
668274247790391296,2015-11-22,twitter,rateDogs photo,10,None,847,239
668286279830867968,2015-11-22,twitter,rateDogs photo,11,None,519,142
668291999406125056,2015-11-22,twitter,rateDogs photo,10,None,253,33
668297328638447616,2015-11-22,twitter,rateDogs photo,9,None,636,310
668466899341221888,2015-11-22,twitter,rateDogs photo,4,None,909,538
668480044826800133,2015-11-22,twitter,rateDogs photo,11,None,474,154
668484198282485761,2015-11-22,twitter,rateDogs photo,9,None,438,246
668496999348633600,2015-11-22,twitter,rateDogs photo,8,None,421,137
668507509523615744,2015-11-22,twitter,rateDogs photo,10,None,335,112
668528771708952576,2015-11-22,twitter,rateDogs photo,12,None,478,235
668537837512433665,2015-11-22,twitter,rateDogs photo,8,None,258,78
668542336805281792,2015-11-22,twitter,rateDogs photo,10,None,477,223
668544745690562560,2015-11-22,twitter,rateDogs photo,10,None,535,237
668567822092664832,2015-11-22,twitter,rateDogs photo,11,None,253,60
668587383441514497,2015-11-23,vine,rateDogs vine,13,None,1707,1134
668614819948453888,2015-11-23,twitter,rateDogs photo,7,None,626,326
668620235289837568,2015-11-23,twitter,rateDogs photo,10,None,211,45
668623201287675904,2015-11-23,twitter,rateDogs photo,10,None,1494,811
668625577880875008,2015-11-23,twitter,rateDogs photo,10,None,403,140
668627278264475648,2015-11-23,twitter,rateDogs photo,9,None,327,118
668631377374486528,2015-11-23,twitter,rateDogs photo,5,None,740,331
668633411083464705,2015-11-23,twitter,rateDogs photo,10,None,2902,1724
668636665813057536,2015-11-23,twitter,rateDogs photo,10,None,1077,507
668641109086707712,2015-11-23,twitter,rateDogs photo,10,None,1105,560
668643542311546881,2015-11-23,twitter,rateDogs photo,3,None,910,554
668645506898350081,2015-11-23,twitter,rateDogs photo,11,None,927,568
668655139528511488,2015-11-23,twitter,rateDogs photo,11,None,546,228
668779399630725120,2015-11-23,twitter,rateDogs photo,10,None,724,387
668815180734689280,2015-11-23,twitter,rateDogs photo,7,None,586,283
668826086256599040,2015-11-23,twitter,rateDogs photo,10,None,452,146
668852170888998912,2015-11-23,twitter,rateDogs photo,11,None,467,173
668872652652679168,2015-11-23,twitter,rateDogs photo,11,None,544,311
668892474547511297,2015-11-23,twitter,rateDogs photo,11,None,410,160
668902994700836864,2015-11-23,twitter,rateDogs photo,11,None,326,106
668932921458302977,2015-11-23,twitter,rateDogs photo,9,None,274,60
668955713004314625,2015-11-24,twitter,rateDogs photo,10,None,288,74
668960084974809088,2015-11-24,twitter,rateDogs photo,10,None,730,248
668975677807423489,2015-11-24,twitter,rateDogs photo,11,None,1351,613
668979806671884288,2015-11-24,twitter,rateDogs photo,12,None,815,369
668981893510119424,2015-11-24,twitter,rateDogs photo,4,None,556,320
668986018524233728,2015-11-24,twitter,rateDogs photo,9,None,567,174
668988183816871936,2015-11-24,twitter,rateDogs photo,7,None,927,495
668989615043424256,2015-11-24,twitter,rateDogs photo,3,None,701,342
668992363537309700,2015-11-24,twitter,rateDogs photo,8,None,766,363
668994913074286592,2015-11-24,twitter,rateDogs photo,5,None,454,244
669000397445533696,2015-11-24,twitter,rateDogs photo,11,None,21487,6654
669006782128353280,2015-11-24,twitter,rateDogs photo,12,None,592,261
669015743032369152,2015-11-24,twitter,rateDogs photo,10,None,759,388
669037058363662336,2015-11-24,twitter,rateDogs photo,10,None,677,326
669203728096960512,2015-11-24,twitter,rateDogs photo,9,None,1035,501
669214165781868544,2015-11-24,twitter,rateDogs photo,10,None,456,178
669216679721873412,2015-11-24,twitter,rateDogs photo,8,None,1222,421
669324657376567296,2015-11-25,twitter,rateDogs photo,11,None,508,214
669327207240699904,2015-11-25,twitter,rateDogs photo,13,None,589,120
669328503091937280,2015-11-25,twitter,rateDogs photo,12,None,1039,435
669351434509529089,2015-11-25,twitter,rateDogs photo,10,None,453,195
669354382627049472,2015-11-25,twitter,rateDogs photo,8,None,2794,1329
669359674819481600,2015-11-25,twitter,rateDogs photo,11,None,379,129
669363888236994561,2015-11-25,twitter,rateDogs photo,10,None,644,239
669367896104181761,2015-11-25,twitter,rateDogs photo,10,None,473,165
669371483794317312,2015-11-25,twitter,rateDogs photo,10,None,511,187
669375718304980992,2015-11-25,twitter,rateDogs photo,6,None,1374,761
669393256313184256,2015-11-25,twitter,rateDogs photo,10,None,374,79
669564461267722241,2015-11-25,twitter,rateDogs photo,10,None,399,129
669567591774625800,2015-11-25,twitter,rateDogs photo,9,None,241,59
669571471778410496,2015-11-25,twitter,rateDogs photo,7,None,1629,1053
669573570759163904,2015-11-25,twitter,rateDogs photo,10,None,448,149
669583744538451968,2015-11-25,twitter,rateDogs photo,6,None,1531,973
669597912108789760,2015-11-25,twitter,rateDogs photo,10,None,526,157
669603084620980224,2015-11-25,twitter,rateDogs photo,10,None,975,386
669625907762618368,2015-11-25,twitter,rateDogs photo,12,None,3641,1894
669661792646373376,2015-11-25,twitter,rateDogs photo,5,None,830,460
669680153564442624,2015-11-26,twitter,rateDogs photo,8,None,690,300
669682095984410625,2015-11-26,twitter,rateDogs photo,9,None,364,137
669683899023405056,2015-11-26,twitter,rateDogs photo,10,None,403,114
669749430875258880,2015-11-26,twitter,rateDogs photo,8,None,278,67
669753178989142016,2015-11-26,twitter,rateDogs photo,10,None,838,422
669923323644657664,2015-11-26,twitter,rateDogs photo,10,None,243,59
669926384437997569,2015-11-26,twitter,rateDogs photo,12,None,389,109
669942763794931712,2015-11-26,twitter,rateDogs photo,11,None,522,174
669970042633789440,2015-11-26,twitter,rateDogs photo,10,None,309,63
669972011175813120,2015-11-26,twitter,rateDogs photo,10,None,456,168
669993076832759809,2015-11-26,twitter,rateDogs photo,9,pupper,335,87
670003130994700288,2015-11-26,twitter,rateDogs photo,10,None,342,96
670037189829525505,2015-11-27,twitter,rateDogs photo,5,None,603,292
670040295598354432,2015-11-27,twitter,rateDogs photo,10,None,772,115
670046952931721218,2015-11-27,twitter,rateDogs photo,11,None,664,184
670055038660800512,2015-11-27,twitter,rateDogs photo,3,None,690,344
670061506722140161,2015-11-27,twitter,rateDogs photo,11,None,786,361
670069087419133954,2015-11-27,twitter,rateDogs photo,5,None,651,255
670073503555706880,2015-11-27,twitter,rateDogs photo,10,None,1614,828
670079681849372674,2015-11-27,twitter,rateDogs photo,10,None,2293,1309
670086499208155136,2015-11-27,twitter,rateDogs photo,10,None,717,261
670093938074779648,2015-11-27,twitter,rateDogs photo,9,None,1067,353
670290420111441920,2015-11-27,twitter,rateDogs photo,11,None,724,298
670303360680108032,2015-11-27,twitter,rateDogs photo,9,None,439,141
670319130621435904,2015-11-27,twitter,rateDogs photo,11,None,3968,1294
670338931251150849,2015-11-27,twitter,rateDogs photo,10,None,437,117
670361874861563904,2015-11-27,twitter,rateDogs photo,9,None,338,69
670374371102445568,2015-11-27,twitter,rateDogs photo,12,None,764,280
670385711116361728,2015-11-27,twitter,rateDogs photo,8,None,579,220
670403879788544000,2015-11-28,twitter,rateDogs photo,10,None,443,164
670408998013820928,2015-11-28,twitter,rateDogs photo,10,None,572,233
670411370698022913,2015-11-28,twitter,rateDogs photo,12,None,2097,946
670417414769758208,2015-11-28,twitter,rateDogs photo,6,None,585,337
670420569653809152,2015-11-28,twitter,rateDogs photo,10,None,647,331
670421925039075328,2015-11-28,twitter,rateDogs photo,12,None,1354,669
670427002554466305,2015-11-28,twitter,rateDogs photo,9,None,534,172
670428280563085312,2015-11-28,twitter,rateDogs photo,11,None,1428,668
670433248821026816,2015-11-28,twitter,rateDogs photo,10,None,335,118
670434127938719744,2015-11-28,twitter,rateDogs photo,11,None,1445,676
670435821946826752,2015-11-28,twitter,rateDogs photo,10,None,1083,548
670442337873600512,2015-11-28,twitter,rateDogs photo,11,None,671,205
670444955656130560,2015-11-28,twitter,rateDogs photo,10,None,6910,2071
670449342516494336,2015-11-28,twitter,rateDogs photo,5,None,1226,701
670452855871037440,2015-11-28,twitter,rateDogs photo,11,None,566,217
670465786746662913,2015-11-28,twitter,rateDogs photo,7,None,1001,581
670468609693655041,2015-11-28,twitter,rateDogs photo,10,None,361,89
670474236058800128,2015-11-28,twitter,rateDogs photo,10,None,1580,800
670668383499735048,2015-11-28,twitter,rateDogs photo,10,None,11060,5275
670676092097810432,2015-11-28,twitter,rateDogs photo,8,None,260,45
670679630144274432,2015-11-28,twitter,rateDogs photo,8,None,768,303
670691627984359425,2015-11-28,twitter,rateDogs photo,8,None,605,253
670704688707301377,2015-11-28,twitter,rateDogs photo,6,None,785,387
670717338665226240,2015-11-28,twitter,rateDogs photo,12,None,1251,518
670727704916926465,2015-11-28,twitter,rateDogs photo,10,None,855,381
670733412878163972,2015-11-28,twitter,rateDogs photo,8,None,989,530
670755717859713024,2015-11-29,twitter,rateDogs photo,9,None,459,119
670764103623966721,2015-11-29,twitter,rateDogs photo,10,None,1107,442
670778058496974848,2015-11-29,twitter,rateDogs photo,10,None,337,74
670780561024270336,2015-11-29,twitter,rateDogs photo,7,None,799,298
670782429121134593,2015-11-29,twitter,rateDogs photo,5,None,1620,817
670783437142401025,2015-11-29,twitter,rateDogs photo,1,None,842,414
670786190031921152,2015-11-29,twitter,rateDogs photo,8,None,620,210
670789397210615808,2015-11-29,twitter,rateDogs photo,9,None,684,250
670792680469889025,2015-11-29,twitter,rateDogs photo,7,None,859,288
670797304698376195,2015-11-29,twitter,rateDogs photo,11,None,753,248
670803562457407488,2015-11-29,twitter,rateDogs photo,10,None,350,91
670804601705242624,2015-11-29,twitter,rateDogs photo,10,None,2037,995
670807719151067136,2015-11-29,twitter,rateDogs photo,11,None,1184,513
670811965569282048,2015-11-29,twitter,rateDogs photo,10,None,1166,283
670815497391357952,2015-11-29,twitter,rateDogs photo,10,None,3266,1620
670822709593571328,2015-11-29,twitter,rateDogs photo,10,None,631,101
670823764196741120,2015-11-29,twitter,rateDogs photo,12,None,800,199
670826280409919488,2015-11-29,twitter,rateDogs photo,2,None,5740,4264
670832455012716544,2015-11-29,twitter,rateDogs photo,10,None,759,230
670833812859932673,2015-11-29,twitter,rateDogs photo,7,None,462,128
670838202509447168,2015-11-29,twitter,rateDogs photo,4,None,1150,729
670840546554966016,2015-11-29,twitter,rateDogs photo,10,None,614,205
670995969505435648,2015-11-29,twitter,rateDogs photo,12,None,1138,305
671109016219725825,2015-11-29,twitter,rateDogs photo,8,None,1177,459
671115716440031232,2015-11-29,twitter,rateDogs photo,6,None,1397,809
671122204919246848,2015-11-30,twitter,rateDogs photo,4,None,3606,2647
671134062904504320,2015-11-30,twitter,rateDogs photo,8,None,769,200
671138694582165504,2015-11-30,twitter,rateDogs photo,10,None,959,421
671141549288370177,2015-11-30,twitter,rateDogs photo,9,None,1206,684
671147085991960577,2015-11-30,twitter,rateDogs photo,9,None,693,240
671151324042559489,2015-11-30,twitter,rateDogs photo,12,None,692,160
671154572044468225,2015-11-30,twitter,rateDogs photo,11,None,744,227
671159727754231808,2015-11-30,twitter,rateDogs photo,5,None,387,85
671163268581498880,2015-11-30,twitter,rateDogs photo,8,None,1713,1159
671166507850801152,2015-11-30,twitter,rateDogs photo,10,None,898,369
671182547775299584,2015-11-30,twitter,rateDogs photo,12,None,1155,359
671186162933985280,2015-11-30,twitter,rateDogs photo,10,None,758,222
671347597085433856,2015-11-30,twitter,rateDogs photo,9,None,997,451
671355857343524864,2015-11-30,twitter,rateDogs photo,10,None,492,117
671357843010908160,2015-11-30,twitter,rateDogs photo,9,None,415,154
671362598324076544,2015-11-30,twitter,rateDogs photo,11,None,1149,307
671390180817915904,2015-11-30,twitter,rateDogs photo,7,None,1462,767
671485057807351808,2015-12-01,twitter,rateDogs photo,11,None,787,241
671486386088865792,2015-12-01,twitter,rateDogs photo,10,None,602,214
671488513339211776,2015-12-01,twitter,rateDogs photo,8,None,1043,491
671497587707535361,2015-12-01,twitter,rateDogs photo,11,None,947,468
671504605491109889,2015-12-01,twitter,rateDogs photo,11,None,7256,3700
671511350426865664,2015-12-01,twitter,rateDogs photo,8,None,1665,761
671518598289059840,2015-12-01,twitter,rateDogs photo,9,None,976,303
671520732782923777,2015-12-01,twitter,rateDogs photo,10,None,1441,554
671528761649688577,2015-12-01,twitter,rateDogs photo,10,None,864,270
671533943490011136,2015-12-01,twitter,rateDogs photo,6,None,1053,603
671536543010570240,2015-12-01,twitter,rateDogs photo,9,None,1213,427
671538301157904385,2015-12-01,twitter,rateDogs photo,8,None,953,415
671542985629241344,2015-12-01,twitter,rateDogs photo,10,None,1123,594
671544874165002241,2015-12-01,twitter,rateDogs photo,6,None,2056,1098
671547767500775424,2015-12-01,twitter,rateDogs photo,10,None,1391,624
671561002136281088,2015-12-01,twitter,rateDogs photo,13,None,13233,7588
671735591348891648,2015-12-01,twitter,rateDogs photo,11,None,1485,788
671743150407421952,2015-12-01,twitter,rateDogs photo,11,None,761,239
671744970634719232,2015-12-01,twitter,rateDogs photo,6,None,1387,804
671763349865160704,2015-12-01,twitter,rateDogs photo,9,None,1736,970
671768281401958400,2015-12-01,twitter,rateDogs photo,10,None,1233,548
671789708968640512,2015-12-01,twitter,rateDogs photo,13,None,7285,3650
671855973984772097,2015-12-02,twitter,rateDogs photo,8,None,940,475
671866342182637568,2015-12-02,twitter,rateDogs photo,10,None,1161,525
671874878652489728,2015-12-02,twitter,rateDogs photo,10,None,1289,580
671879137494245376,2015-12-02,twitter,rateDogs photo,5,None,1469,723
671882082306625538,2015-12-02,twitter,rateDogs photo,11,None,3569,1440
671891728106971137,2015-12-02,twitter,rateDogs photo,11,None,1369,590
671896809300709376,2015-12-02,twitter,rateDogs photo,10,None,8719,4345
672068090318987265,2015-12-02,twitter,rateDogs photo,7,None,1337,539
672082170312290304,2015-12-02,twitter,rateDogs photo,11,None,966,382
672095186491711488,2015-12-02,twitter,rateDogs photo,9,None,1026,384
672125275208069120,2015-12-02,twitter,rateDogs photo,11,None,2479,1198
672139350159835138,2015-12-02,twitter,rateDogs photo,12,None,1801,752
672160042234327040,2015-12-02,twitter,rateDogs photo,8,pupper,898,378
672169685991993344,2015-12-02,twitter,rateDogs photo,10,None,1051,387
672205392827572224,2015-12-03,twitter,rateDogs photo,9,pupper,2330,1211
672222792075620352,2015-12-03,twitter,rateDogs photo,9,None,808,222
672231046314901505,2015-12-03,twitter,rateDogs photo,5,None,1892,1056
672239279297454080,2015-12-03,twitter,rateDogs photo,7,None,921,335
672245253877968896,2015-12-03,twitter,rateDogs photo,12,None,708,162
672248013293752320,2015-12-03,twitter,rateDogs photo,10,None,1780,633
672254177670729728,2015-12-03,twitter,rateDogs photo,11,pupper,1472,772
672256522047614977,2015-12-03,twitter,rateDogs photo,8,None,2901,1630
